▁à	-9.04134
▁tax	-9.04303
ance	-9.04393
▁forward	-9.04396
▁understand	-9.045
▁federal	-9.04526
sh	-9.04553
▁cost	-9.04578
▁hours	-9.0479
ent	-9.04804
▁es	-9.04856
▁mean	-9.05028
ft	-9.05028
▁Facebook	-9.05129
▁fire	-9.05156
ze	-9.05173
▁father	-9.05228
▁land	-9.05231
lin	-9.05308
ence	-9.05343
▁turned	-9.05729
▁version	-9.06085
con	-9.06404
▁moment	-9.06462
▁Twitter	-9.06569
▁running	-9.06678
▁Obama	-9.07085
▁Not	-9.07085
▁/	-9.07134
▁issues	-9.07159
▁w	-9.07254
▁und	-9.07261
á	-9.07375
▁County	-9.0744
▁bad	-9.07444
▁December	-9.07794
▁director	-9.0781
▁felt	-9.07854
▁officials	-9.08008
io	-9.08142
▁below	-9.08151
▁Ra	-9.08153
▁Or	-9.08236
▁key	-9.08249
dy	-9.08269
▁build	-9.08287
▁Ha	-9.08349
▁population	-9.0846
▁period	-9.0854
▁According	-9.08658
▁services	-9.08686
ho	-9.08824
▁fight	-9.08856
▁industry	-9.08891
▁self	-9.08934
▁economic	-9.09035
▁content	-9.0923
▁Department	-9.09316
ng	-9.0948
▁mother	-9.0953
▁n	-9.09543
In	-9.09581
▁value	-9.09599
▁Sa	-9.0978
▁ground	-9.10118
▁test	-9.10256
▁sense	-9.10371
▁everyone	-9.10501
vo	-9.10649
▁talk	-9.10737
▁career	-9.10856
▁itself	-9.11005
▁published	-9.11044
▁Ho	-9.11096
▁gave	-9.11222
ally	-9.11228
▁built	-9.11392
▁News	-9.11415
▁si	-9.11425
we	-9.11425
▁themselves	-9.11507
tion	-9.11527
▁heart	-9.11534
▁created	-9.11613
▁playing	-9.11658
so	-9.11765
▁vote	-9.11835
▁field	-9.11977
Z	-9.12012
▁knew	-9.12166
▁sa	-9.12233
▁leave	-9.12345
▁er	-9.12645
▁soon	-9.12656
▁India	-9.12929
way	-9.12947
▁British	-9.1298
▁worked	-9.13062
▁inside	-9.13233
▁true	-9.13287
▁official	-9.13387
▁Ro	-9.13445
%	-9.13448
▁Z	-9.13468
▁legal	-9.1355
▁em	-9.13555
▁sent	-9.13813
▁evidence	-9.14021
ron	-9.14212
▁strong	-9.14288
▁app	-9.14379
▁instead	-9.14671
▁else	-9.14691
▁School	-9.14797
▁design	-9.14821
▁2018	-9.14993
▁living	-9.15035
▁code	-9.15088
▁longer	-9.15122
▁especially	-9.15216
▁needed	-9.15299
▁com	-9.15506
▁в	-9.15531
▁En	-9.1557
ning	-9.15688
▁2017	-9.15905
▁February	-9.15982
▁25	-9.16078
▁rights	-9.16084
▁share	-9.16087
▁original	-9.16104
▁billion	-9.1613
▁online	-9.16165
▁por	-9.1625
▁states	-9.16478
▁energy	-9.16494
bo	-9.16579
▁international	-9.16663
▁town	-9.16722
▁shows	-9.16798
tro	-9.16898
▁risk	-9.16939
▁child	-9.17121
▁bring	-9.17219
­	-9.17225
▁club	-9.17299
▁words	-9.17302
▁model	-9.17395
▁Se	-9.17428
▁Bo	-9.17568
wa	-9.17601
▁minutes	-9.1772
mer	-9.17864
▁staff	-9.17995
▁race	-9.18142
▁sub	-9.18188
▁seems	-9.1829
▁weeks	-9.18508
▁ne	-9.18515
▁view	-9.18563
▁hold	-9.18635
▁door	-9.18715
▁private	-9.18753
▁quite	-9.18954
▁simply	-9.18969
▁Ar	-9.19104
▁included	-9.19162
▁Court	-9.19345
▁personal	-9.1945
▁type	-9.19543
▁European	-9.19709
▁died	-9.19791
▁trade	-9.19932
▁Russian	-9.19936
vi	-9.19959
He	-9.20035
▁California	-9.2006
ization	-9.20145
▁earlier	-9.20289
ek	-9.20357
▁_	-9.20535
